asset_id,asset_name,asset_value,purchase_date,location,department,asset_category,asset_condition,maintenance_cost,depreciation_rate
1,Mrs,Yuan Renminbi,12/12/2025,6865 Dennis Drive,Sales,furniture,new,Real,0.26
2,Mrs,Yuan Renminbi,6/22/2012,57 Cherokee Alley,Product Management,vehicles,new,Yuan Renminbi,0.16
3,Ms,Zloty,10/13/2021,71337 Declaration Trail,Legal,furniture,new,Zloty,0.29
4,Mrs,Peso,8/9/2015,6843 Arkansas Trail,Legal,furniture,refurbished,Rupiah,0.12
5,Honorable,Euro,8/3/2006,50744 Eagan Lane,Human Resources,vehicles,new,Euro,0.32
6,Dr,Ruble,6/27/2016,379 Del Mar Trail,Business Development,electronics,new,Peso,0.17
7,Mr,Euro,1/29/2020,5925 Loeprich Hill,Human Resources,electronics,refurbished,Peso,0.32
8,Ms,Gourde,2/23/2021,4 Tony Alley,Human Resources,vehicles,refurbished,Yuan Renminbi,0.11
9,Rev,Krona,5/29/2002,44284 Westend Terrace,Legal,furniture,used,Yen,0.2
10,Honorable,Dong,1/4/2024,1230 Garrison Road,Research and Development,furniture,refurbished,Yuan Renminbi,0.42
11,Honorable,Yuan Renminbi,5/31/2016,36 Sherman Drive,Research and Development,electronics,new,Ruble,0.12
12,Honorable,Yuan Renminbi,2/7/2013,91970 Melby Hill,Human Resources,vehicles,used,Rial,0.44
13,Honorable,Krone,9/18/2014,5172 Blaine Terrace,Research and Development,electronics,refurbished,Ringgit,0.49
14,Dr,Hryvnia,8/8/2024,5 Summerview Point,Support,vehicles,new,Peso,0.36
15,Mr,Dollar,3/25/2017,35 Twin Pines Drive,Human Resources,vehicles,refurbished,Rial,0.12
16,Ms,Pound,2/9/2020,02 Graceland Court,Legal,vehicles,new,Peso,0.31
17,Mrs,Baht,10/13/2020,6425 3rd Trail,Accounting,electronics,new,Euro,0.22
18,Mr,Zloty,8/17/2015,641 Weeping Birch Street,Business Development,vehicles,new,Euro,0.19
19,Rev,Euro,12/10/2005,16 Luster Way,Training,electronics,new,Peso,0.44
20,Ms,Real,7/4/2017,18941 Lakeland Lane,Business Development,furniture,used,Koruna,0.13
21,Dr,Peso,1/22/2000,4 Charing Cross Pass,Legal,furniture,used,Dollar,0.2
22,Mr,Franc,3/11/2002,8 Anderson Point,Human Resources,furniture,refurbished,Baht,0.41
23,Rev,Som,4/8/2022,72 Donald Plaza,Support,electronics,used,Peso,0.1
24,Dr,Euro,12/30/2002,5546 Dixon Junction,Support,furniture,new,Baht,0.49
25,Mr,Real,10/14/2006,65 Carioca Avenue,Research and Development,furniture,refurbished,Rupiah,0.23
26,Ms,Dollar,11/26/2000,41995 Duke Alley,Marketing,electronics,refurbished,Dollar,0.33
27,Honorable,Peso,1/18/2012,489 Garrison Trail,Marketing,vehicles,used,Baht,0.1
28,Mrs,Rupiah,9/13/2013,46357 Mcguire Drive,Engineering,furniture,used,Krone,0.44
29,Mr,Hryvnia,1/6/2020,0 Bunting Circle,Legal,electronics,used,Yuan Renminbi,0.5
30,Rev,Rupiah,2/3/2012,8 Gulseth Drive,Sales,furniture,refurbished,Yuan Renminbi,0.33
31,Honorable,Krone,6/2/2019,8712 Iowa Alley,Accounting,vehicles,refurbished,Baht,0.4
32,Mr,Yuan Renminbi,7/29/2012,8 Stephen Drive,Human Resources,furniture,new,Yuan Renminbi,0.26
33,Mr,Kuna,2/11/2003,32 Grasskamp Point,Legal,furniture,refurbished,Rupiah,0.46
34,Rev,Franc,11/8/2006,0 Sachtjen Center,Accounting,furniture,refurbished,Afghani,0.11
35,Dr,Euro,9/1/2009,38 Spohn Road,Support,vehicles,used,Dollar,0.46
36,Mrs,Zloty,2/6/2017,01499 Nova Alley,Product Management,vehicles,refurbished,Dollar,0.15
